Episode,AverageScore,Epsilon
100,20.45,0.9512
200,21.82,0.9048
300,22.05,0.8607
400,27.60,0.8187
500,28.34,0.7787
600,26.59,0.7408
700,35.27,0.7046
800,34.94,0.6702
900,35.75,0.6375
1000,27.12,0.6064
1100,45.34,0.5769
1200,43.60,0.5487
1300,50.38,0.5219
1400,57.04,0.4965
1500,53.06,0.4723
1600,61.35,0.4492
1700,55.89,0.4273
1800,63.21,0.4065
1900,65.17,0.3866
2000,67.90,0.3678
2100,67.70,0.3498
2200,68.78,0.3328
2300,70.02,0.3165
2400,69.75,0.3011
2500,79.76,0.2864
2600,73.54,0.2724
2700,80.57,0.2591
2800,81.01,0.2465
2900,81.38,0.2345
3000,81.92,0.2230
3100,83.80,0.2122
3200,74.62,0.2018
3300,79.62,0.1920
3400,82.43,0.1826
3500,84.66,0.1737
3600,86.70,0.1652
3700,82.15,0.1572
3800,84.16,0.1495
3900,85.99,0.1422
4000,93.06,0.1353
4100,86.91,0.1287
4200,93.40,0.1224
4300,92.00,0.1164
4400,93.78,0.1107
4500,86.53,0.1053
4600,96.80,0.1002
4700,90.49,0.0953
4800,92.83,0.0907
4900,92.93,0.0862
5000,95.26,0.0820
